player_id,full_name,team_name,position,gw_id,goals_scored,assists,clean_sheets,goals_conceded,expected_goals,expected_assists,expected_goals_conceded,total_points,season
4,Kai Havertz,Arsenal,Forward,1,1,1,1,0,0.45,0.04,0.47,12,2024_2025
7,Jorge Luiz Frello Filho,Arsenal,Midfielder,1,0,0,0,0,0.0,0.0,0.0,0,2024_2025
8,Jakub Kiwior,Arsenal,Defender,1,0,0,0,0,0.0,0.0,0.0,0,2024_2025
9,Gabriel Martinelli Silva,Arsenal,Midfielder,1,0,0,1,0,0.08,0.19,0.47,3,2024_2025
11,Eddie Nketiah,Chelsea,Forward,1,0,0,0,0,0.0,0.0,0.0,0,2024_2025
12,Ethan Nwaneri,Arsenal,Midfielder,1,0,0,0,0,0.0,0.0,0.0,0,2024_2025
13,Martin Ødegaard,Arsenal,Midfielder,1,0,0,1,0,0.02,0.06,0.47,3,2024_2025
14,Aaron Ramsdale,Sunderland,Goalkeeper,1,0,0,0,0,0.0,0.0,0.0,0,2024_2025
15,David Raya Martin,Arsenal,Goalkeeper,1,0,0,1,0,0.0,0.0,0.47,8,2024_2025
16,Declan Rice,Arsenal,Midfielder,1,0,0,1,0,0.09,0.05,0.32,3,2024_2025
17,Bukayo Saka,Arsenal,Midfielder,1,1,1,1,0,0.35,0.37,0.32,12,2024_2025
18,William Saliba,Arsenal,Defender,1,0,0,1,0,0.0,0.0,0.47,6,2024_2025
19,Emile Smith Rowe,Everton,Midfielder,1,0,0,1,0,0.0,0.0,1.5,3,2024_2025
20,Thomas Partey,Arsenal,Midfielder,1,0,0,1,0,0.06,0.06,0.47,3,2024_2025
21,Kieran Tierney,Arsenal,Defender,1,0,0,0,0,0.0,0.0,0.0,0,2024_2025
23,Leandro Trossard,Arsenal,Midfielder,1,0,0,0,0,0.0,0.0,0.15,1,2024_2025
24,Benjamin White,Arsenal,Defender,1,0,0,1,0,0.07,0.06,0.47,6,2024_2025
25,Oleksandr Zinchenko,Arsenal,Defender,1,0,0,1,0,0.0,0.04,0.32,6,2024_2025
27,Cameron Archer,Sunderland,Forward,1,0,0,0,0,0.19,0.0,0.0,1,2024_2025
28,Leon Bailey,Aston Villa,Midfielder,1,0,0,0,1,0.21,0.21,1.39,1,2024_2025
29,Ross Barkley,Aston Villa,Midfielder,1,0,0,0,0,0.0,0.0,0.0,0,2024_2025
32,Matty Cash,Aston Villa,Defender,1,0,0,0,1,0.0,0.01,1.41,2,2024_2025
36,Lucas Digne,Aston Villa,Defender,1,0,0,0,1,0.0,0.13,1.39,2,2024_2025
42,Boubacar Kamara,Aston Villa,Midfielder,1,0,0,0,0,0.0,0.0,0.0,0,2024_2025
44,Ezri Konsa Ngoyo,Aston Villa,Defender,1,0,0,0,1,0.07,0.01,2.46,2,2024_2025
45,Ian Maatsen,Aston Villa,Defender,1,0,0,0,0,0.0,0.04,1.06,1,2024_2025
47,Emiliano Martínez Romero,Aston Villa,Goalkeeper,1,0,0,0,1,0.0,0.0,2.46,3,2024_2025
48,John McGinn,Aston Villa,Midfielder,1,0,0,0,1,0.3,0.01,1.28,2,2024_2025
49,Tyrone Mings,Aston Villa,Defender,1,0,0,0,0,0.0,0.0,0.0,0,2024_2025
51,Robin Olsen,Aston Villa,Goalkeeper,1,0,0,0,0,0.0,0.0,0.0,0,2024_2025
52,Pau Torres,Aston Villa,Defender,1,0,0,0,1,0.0,0.01,2.46,2,2024_2025
53,Jacob Ramsey,Aston Villa,Midfielder,1,0,1,0,0,0.06,0.13,1.17,4,2024_2025
54,Morgan Rogers,Aston Villa,Midfielder,1,0,0,0,1,0.21,0.08,2.46,2,2024_2025
57,Youri Tielemans,Aston Villa,Midfielder,1,0,1,0,1,0.18,0.24,2.46,7,2024_2025
58,Ollie Watkins,Aston Villa,Forward,1,0,0,0,1,0.0,0.0,1.28,2,2024_2025
60,Tyler Adams,Burnley,Midfielder,1,0,0,0,0,0.0,0.0,0.0,0,2024_2025
62,David Brooks,Burnley,Midfielder,1,0,0,0,0,0.0,0.0,0.0,0,2024_2025
64,Lewis Cook,Burnley,Midfielder,1,0,0,0,1,0.0,0.21,1.04,1,2024_2025
69,Daniel Jebbison,Burnley,Forward,1,0,0,0,0,0.0,0.0,0.28,1,2024_2025
70,Milos Kerkez,Burnley,Defender,1,0,0,0,1,0.0,0.01,1.3,1,2024_2025
71,Justin Kluivert,Burnley,Midfielder,1,0,0,0,0,0.0,0.02,0.28,0,2024_2025
77,Alex Scott,Burnley,Midfielder,1,0,0,0,1,0.0,0.01,1.02,2,2024_2025
78,Antoine Semenyo,Burnley,Midfielder,1,1,0,0,1,0.44,0.04,1.3,8,2024_2025
79,Marcos Senesi,Burnley,Defender,1,0,0,0,0,0.0,0.0,0.0,0,2024_2025
81,Adam Smith,Burnley,Defender,1,0,0,0,1,0.0,0.01,1.02,2,2024_2025
82,Dominic Solanke-Mitchell,Spurs,Forward,1,0,0,0,1,0.34,0.15,1.02,2,2024_2025
83,Marcus Tavernier,Burnley,Midfielder,1,0,0,0,1,0.42,0.12,1.3,2,2024_2025
85,Illia Zabarnyi,Burnley,Defender,1,0,0,0,1,0.0,0.02,1.3,2,2024_2025
86,Kristoffer Ajer,Bournemouth,Defender,1,0,0,0,1,0.28,0.0,1.17,2,2024_2025
88,Nathan Collins,Bournemouth,Defender,1,0,1,0,1,0.22,0.0,1.17,6,2024_2025
89,Mikkel Damsgaard,Bournemouth,Midfielder,1,0,0,0,0,0.0,0.0,0.67,1,2024_2025
91,Mark Flekken,Bournemouth,Goalkeeper,1,0,0,0,1,0.0,0.0,1.17,4,2024_2025
92,Rico Henry,Bournemouth,Defender,1,0,0,0,0,0.0,0.0,0.0,0,2024_2025
95,Mathias Jensen,Bournemouth,Midfielder,1,0,0,0,1,0.0,0.03,0.61,2,2024_2025
97,Yunus Emre Konak,Bournemouth,Midfielder,1,0,0,0,0,0.0,0.0,0.0,0,2024_2025
98,Keane Lewis-Potter,Bournemouth,Midfielder,1,0,0,0,0,0.0,0.0,0.67,1,2024_2025
99,Bryan Mbeumo,Bournemouth,Midfielder,1,1,0,0,1,0.09,0.45,1.17,9,2024_2025
101,Christian Nørgaard,Bournemouth,Midfielder,1,0,0,0,1,0.0,0.01,1.17,2,2024_2025
106,Kevin Schade,Bournemouth,Midfielder,1,0,0,0,1,0.13,0.01,0.5,2,2024_2025
107,Igor Thiago Nascimento Rodrigues,Bournemouth,Forward,1,0,0,0,0,0.0,0.0,0.0,0,2024_2025
110,Yoane Wissa,Bournemouth,Forward,1,1,1,0,1,1.0,0.01,0.61,11,2024_2025
111,Yehor Yarmoliuk,Bournemouth,Midfielder,1,0,0,0,0,0.0,0.0,0.0,0,2024_2025
113,Simon Adingra,Brentford,Midfielder,1,1,0,0,0,0.17,0.05,0.21,6,2024_2025
115,Carlos Baleba,Brentford,Midfielder,1,0,0,0,0,0.0,0.0,0.0,0,2024_2025
117,Facundo Buonanotte,Leeds,Midfielder,1,0,0,0,1,0.0,0.19,0.98,2,2024_2025
121,Julio Enciso,Fulham,Midfielder,1,0,0,0,0,0.0,0.0,0.0,0,2024_2025
122,Pervis Estupiñán,Brentford,Defender,1,0,0,0,0,0.0,0.0,0.0,0,2024_2025
126,Jack Hinshelwood,Brentford,Midfielder,1,0,0,1,0,0.0,0.01,0.45,3,2024_2025
128,Igor Julio dos Santos de Paulo,Brentford,Defender,1,0,0,0,0,0.0,0.0,0.0,0,2024_2025
131,Tariq Lamptey,Brentford,Defender,1,0,0,0,0,0.0,0.0,0.0,0,2024_2025
134,James Milner,Brentford,Midfielder,1,0,0,1,0,0.0,0.11,0.45,2,2024_2025
135,Yankuba Minteh,Brentford,Midfielder,1,0,1,0,0,0.0,0.65,0.25,4,2024_2025
136,Mitoma Kaoru,Brentford,Midfielder,1,1,0,1,0,0.97,0.04,0.45,8,2024_2025
