player_id,full_name,team_name,position,now_cost,most_recent_gameweek_played,average_points,average_points_l3,average_goals_scored,average_goals_scored_l3,average_assists,average_assists_l3,average_clean_sheets,average_clean_sheets_l3,average_goals_conceded,average_goals_conceded_l3,average_expected_goals,average_expected_goals_l3,average_expected_assists,average_expected_assists_l3,average_expected_goals_conceded,average_expected_goals_conceded_l3,avg_xg_and_xa_l3,now_cost_per_avg_l3_points,now_cost_per_avg_l3_xg_and_xa,now_cost_per_avg_l3_xg_conceded,season
694,Nordi Mukiele,Sunderland,Defender,4.1,8.0,6.29,8.67,0.14,0.33,0.0,0.0,0.43,0.67,0.57,0.67,0.05,0.08,0.04,0.02,1.15,1.45,0.07,0.47,58.57,2.83,2025_2026
683,Omar Alderete,Sunderland,Defender,4.1,8.0,5.62,7.67,0.12,0.33,0.12,0.0,0.38,0.67,0.75,0.67,0.07,0.1,0.04,0.06,1.16,1.45,0.13,0.53,31.54,2.83,2025_2026
5,Gabriel dos Santos Magalhães,Arsenal,Defender,6.4,8.0,7.38,11.33,0.12,0.33,0.12,0.33,0.62,0.67,0.38,0.33,0.09,0.15,0.01,0.02,0.6,0.51,0.11,0.56,58.18,12.55,2025_2026
225,Reece James,Chelsea,Defender,5.5,8.0,4.62,8.33,0.12,0.33,0.38,0.67,0.25,0.33,0.88,1.33,0.04,0.09,0.11,0.13,1.38,2.19,0.17,0.66,32.35,2.51,2025_2026
407,Matheus Nunes,Man City,Defender,5.3,8.0,3.5,8.0,0.12,0.33,0.12,0.33,0.25,0.67,0.38,0.33,0.02,0.07,0.04,0.09,0.51,0.68,0.11,0.66,48.18,7.79,2025_2026
151,Jan Paul van Hecke,Brighton,Defender,4.4,8.0,3.25,6.0,0.12,0.33,0.0,0.0,0.0,0.0,1.38,1.0,0.06,0.05,0.03,0.02,1.33,1.27,0.08,0.73,55.0,3.46,2025_2026
233,Josh Acheampong,Chelsea,Defender,3.9,8.0,3.12,5.33,0.12,0.33,0.0,0.0,0.25,0.33,0.5,1.33,0.08,0.17,0.0,0.0,0.8,1.9,0.08,0.73,48.75,2.05,2025_2026
670,Robin Roefs,Sunderland,Goalkeeper,4.6,8.0,6.0,6.33,0.0,0.0,0.0,0.0,0.5,0.67,0.75,0.67,0.0,0.0,0.0,0.0,1.2,1.45,0.0,0.73,inf,3.17,2025_2026
532,Trai Hume,Sunderland,Defender,4.5,8.0,4.62,6.0,0.0,0.0,0.12,0.33,0.5,0.67,0.75,0.67,0.04,0.09,0.04,0.05,1.15,1.32,0.09,0.75,50.0,3.41,2025_2026
100,Eli Junior Kroupi,Bournemouth,Forward,4.5,8.0,2.62,6.0,0.38,1.0,0.0,0.0,0.0,0.0,0.38,0.67,0.18,0.47,0.0,0.0,0.35,0.85,0.18,0.75,25.0,5.29,2025_2026
178,Danny Welbeck,Brighton,Forward,6.3,8.0,3.88,8.33,0.5,1.33,0.0,0.0,0.0,0.0,1.12,0.67,0.38,0.44,0.06,0.03,0.89,0.79,0.41000000000000003,0.76,15.37,7.97,2025_2026
493,Sean Longstaff,Leeds,Midfielder,4.9,8.0,3.75,6.33,0.12,0.33,0.12,0.33,0.12,0.0,1.12,2.0,0.05,0.11,0.08,0.2,0.71,0.6,0.25,0.77,19.6,8.17,2025_2026
101,Caoimhín Kelleher,Brentford,Goalkeeper,4.5,8.0,3.38,5.67,0.0,0.0,0.0,0.0,0.25,0.33,1.5,0.67,0.0,0.0,0.0,0.0,1.26,1.08,0.0,0.79,inf,4.17,2025_2026
136,Igor Thiago Nascimento Rodrigues,Brentford,Forward,6.1,8.0,5.0,7.67,0.62,1.0,0.0,0.0,0.25,0.33,1.38,0.67,0.44,0.74,0.02,0.01,1.19,1.04,0.45,0.8,13.56,5.87,2025_2026
