,player_id,total_points,gw_id,full_name
456,457,1,1,Aaron Cresswell
1029,457,2,2,Aaron Cresswell
1610,457,0,3,Aaron Cresswell
2202,457,6,4,Aaron Cresswell
2803,457,2,5,Aaron Cresswell
3411,457,0,6,Aaron Cresswell
4035,457,0,7,Aaron Cresswell
4659,457,2,8,Aaron Cresswell
5290,457,5,9,Aaron Cresswell
5928,457,2,10,Aaron Cresswell
6569,457,3,11,Aaron Cresswell
7212,457,2,12,Aaron Cresswell
7857,457,8,13,Aaron Cresswell
8505,457,2,14,Aaron Cresswell
9161,457,1,15,Aaron Cresswell
9822,457,1,16,Aaron Cresswell
10489,457,1,17,Aaron Cresswell
11164,457,1,18,Aaron Cresswell
11842,457,1,19,Aaron Cresswell
12531,457,2,20,Aaron Cresswell
13230,457,0,21,Aaron Cresswell
13937,457,0,22,Aaron Cresswell
14677,457,0,23,Aaron Cresswell
15422,457,0,24,Aaron Cresswell
16168,457,1,25,Aaron Cresswell
16914,457,0,26,Aaron Cresswell
17661,457,0,27,Aaron Cresswell
18411,457,0,28,Aaron Cresswell
19162,457,1,29,Aaron Cresswell
19916,457,8,30,Aaron Cresswell
20670,457,0,31,Aaron Cresswell
21429,457,12,32,Aaron Cresswell
